ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Education (Aggregate levels): Advanced,2020,291.936,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Education (Aggregate levels): Level not stated,2020,9.83,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Education (Aggregate levels): Total,2020,257.912,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Education (Aggregate levels): Less than basic,2020,2.751,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Education (Aggregate levels): Basic,2020,51.079,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Education (Aggregate levels): Intermediate,2020,143.052,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Education (Aggregate levels): Advanced,2020,58.049,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15-24",Education (Aggregate levels): Level not stated,2020,2.981,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 25+",Education (Aggregate levels): Total,2020,845.04,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 25+",Education (Aggregate levels): Less than basic,2020,15.621,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 25+",Education (Aggregate levels): Basic,2020,304.455,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 25+",Education (Aggregate levels): Intermediate,2020,258.858,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 25+",Education (Aggregate levels): Advanced,2020,258.746,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 25+",Education (Aggregate levels): Level not stated,2020,7.36,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Male,"Age (Youth, adults): 15+",Education (Aggregate levels): Total,2020,642.781,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Male,"Age (Youth, adults): 15+",Education (Aggregate levels): Less than basic,2020,11.554,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Male,"Age (Youth, adults): 15+",Education (Aggregate levels): Basic,2020,239.024,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Male,"Age (Youth, adults): 15+",Education (Aggregate levels): Intermediate,2020,237.265,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Male,"Age (Youth, adults): 15+",Education (Aggregate levels): Advanced,2020,150.159,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Male,"Age (Youth, adults): 15+",Education (Aggregate levels): Level not stated,2020,4.719,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Education (Aggregate levels): Total,2020,552.482,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Education (Aggregate levels): Less than basic,2020,4.986,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Education (Aggregate levels): Basic,2020,189.745,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Education (Aggregate levels): Intermediate,2020,216.46,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Education (Aggregate levels): Advanced,2020,136.742,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Male,"Age (Youth, adults): 15-64",Education (Aggregate levels): Level not stated,2020,4.489,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Education (Aggregate levels): Total,2020,136.994,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Education (Aggregate levels): Less than basic,2020,2.053,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Education (Aggregate levels): Basic,2020,27.44,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Education (Aggregate levels): Intermediate,2020,82.737,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Education (Aggregate levels): Advanced,2020,22.823,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Male,"Age (Youth, adults): 15-24",Education (Aggregate levels): Level not stated,2020,1.941,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Total,2020,505.787,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Less than basic,2020,9.501,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Basic,2020,211.584,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Intermediate,2020,154.528,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Advanced,2020,127.336,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Male,"Age (Youth, adults): 25+",Education (Aggregate levels): Level not stated,2020,2.778,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Female,"Age (Youth, adults): 15+",Education (Aggregate levels): Total,2020,460.171,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Female,"Age (Youth, adults): 15+",Education (Aggregate levels): Less than basic,2020,6.818,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Female,"Age (Youth, adults): 15+",Education (Aggregate levels): Basic,2020,116.51,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Female,"Age (Youth, adults): 15+",Education (Aggregate levels): Intermediate,2020,164.645,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Female,"Age (Youth, adults): 15+",Education (Aggregate levels): Advanced,2020,166.636,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Female,"Age (Youth, adults): 15+",Education (Aggregate levels): Level not stated,2020,5.622,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Female,"Age (Youth, adults): 15-64",Education (Aggregate levels): Total,2020,409.808,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Female,"Age (Youth, adults): 15-64",Education (Aggregate levels): Less than basic,2020,4.544,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Female,"Age (Youth, adults): 15-64",Education (Aggregate levels): Basic,2020,92.52,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Female,"Age (Youth, adults): 15-64",Education (Aggregate levels): Intermediate,2020,152.269,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Female,"Age (Youth, adults): 15-64",Education (Aggregate levels): Advanced,2020,155.194,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Female,"Age (Youth, adults): 15-64",Education (Aggregate levels): Level not stated,2020,5.341,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Total,2020,120.918,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Less than basic,2020,0.698,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Basic,2020,23.639,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Intermediate,2020,60.315,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Advanced,2020,35.226,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Female,"Age (Youth, adults): 15-24",Education (Aggregate levels): Level not stated,2020,1.04,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Total,2020,339.253,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Less than basic,2020,6.12,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Basic,2020,92.871,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Intermediate,2020,104.33,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Advanced,2020,131.41,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Female,"Age (Youth, adults): 25+",Education (Aggregate levels): Level not stated,2020,4.582,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15+",Education (ISCED-11): Total,2020,1102.952,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15+",Education (ISCED-11): X. No schooling,2020,18.372,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15+",Education (ISCED-11): 1. Primary education,2020,189.345,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15+",Education (ISCED-11): 2. Lower secondary education,2020,166.189,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15+",Education (ISCED-11): 3. Upper secondary education,2020,385.566,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15+",Education (ISCED-11): 4. Post-secondary non-tertiary education,2020,16.344,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15+",Education (ISCED-11): 5. Short-cycle tertiary education,2020,84.733,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15+",Education (ISCED-11): 6. Bachelor's or equivalent level,2020,229.504,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15+",Education (ISCED-11): 7. Master's or equivalent level,2020,2.558,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15+",Education (ISCED-11): 9. Not elsewhere classified,2020,10.341,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Education (ISCED-11): Total,2020,962.29,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,"Unemployment by sex, age and education (thousands)",Sex: Total,"Age (Youth, adults): 15-64",Education (ISCED-11): X. No schooling,2020,9.53,,,,"Employment definition: Excluding own-use production workers | Data reference period: Second semester | Geographical coverage: Total national, excluding some areas | Population coverage: Excluding indigenous population"
