ref_area.label,source.label,indicator.label,sex.label,classif1.label,classif2.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Male,Occupation (ISCO-08): 2. Professionals,,2012,25.793,,Nonstandard occupation: Including 3,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Male,Occupation (ISCO-08): 4. Clerical support workers,,2012,18.693,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Male,Occupation (ISCO-08): 5. Service and sales workers,,2012,112.965,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Male,"Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers",,2012,39.749,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Male,Occupation (ISCO-08): 7. Craft and related trades workers,,2012,228.246,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Male,"Occupation (ISCO-08): 8. Plant and machine operators, and assemblers",,2012,51.997,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Male,Occupation (ISCO-08): 0. Armed forces occupations,,2012,2.082,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Male,Occupation (ISCO-08): X. Not elsewhere classified,,2012,0.989,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Female,Occupation (ISCO-08): Total,,2012,349.78,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Female,Occupation (ISCO-08): 1. Managers,,2012,11.605,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Female,Occupation (ISCO-08): 2. Professionals,,2012,69.278,,Nonstandard occupation: Including 3,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Female,Occupation (ISCO-08): 4. Clerical support workers,,2012,56.927,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Female,Occupation (ISCO-08): 5. Service and sales workers,,2012,186.077,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Female,"Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers",,2012,5.225,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Female,Occupation (ISCO-08): 7. Craft and related trades workers,,2012,18.055,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Female,"Occupation (ISCO-08): 8. Plant and machine operators, and assemblers",,2012,2.002,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Female,Occupation (ISCO-08): 0. Armed forces occupations,,2012,0.23,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Female,Occupation (ISCO-08): X. Not elsewhere classified,,2012,0.381,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,Occupation (Skill level): Total,,2011,863.614,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,,2011,108.697,,Nonstandard occupation: Including 3,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,Occupation (Skill level): Skill level 2 ~ medium,,2011,749.104,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,Occupation (Skill level): Not elsewhere classified,,2011,5.813,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Male,Occupation (Skill level): Total,,2011,497.354,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Male,Occupation (Skill level): Skill levels 3 and 4 ~ high,,2011,34.063,,Nonstandard occupation: Including 3,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Male,Occupation (Skill level): Skill level 2 ~ medium,,2011,459.662,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Male,Occupation (Skill level): Not elsewhere classified,,2011,3.629,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Female,Occupation (Skill level): Total,,2011,366.26,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Female,Occupation (Skill level): Skill levels 3 and 4 ~ high,,2011,74.634,,Nonstandard occupation: Including 3,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Female,Occupation (Skill level): Skill level 2 ~ medium,,2011,289.442,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Female,Occupation (Skill level): Not elsewhere classified,,2011,2.184,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,Occupation (ISCO-08): Total,,2011,863.614,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,Occupation (ISCO-08): 1. Managers,,2011,23.906,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,Occupation (ISCO-08): 2. Professionals,,2011,84.791,,Nonstandard occupation: Including 3,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,Occupation (ISCO-08): 4. Clerical support workers,,2011,81.324,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,Occupation (ISCO-08): 5. Service and sales workers,,2011,316.781,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,"Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers",,2011,41.385,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,Occupation (ISCO-08): 7. Craft and related trades workers,,2011,250.573,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,"Occupation (ISCO-08): 8. Plant and machine operators, and assemblers",,2011,59.041,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,Occupation (ISCO-08): 0. Armed forces occupations,,2011,2.108,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,Occupation (ISCO-08): X. Not elsewhere classified,,2011,3.705,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Male,Occupation (ISCO-08): Total,,2011,497.354,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Male,Occupation (ISCO-08): 1. Managers,,2011,10.282,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Male,Occupation (ISCO-08): 2. Professionals,,2011,23.781,,Nonstandard occupation: Including 3,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Male,Occupation (ISCO-08): 4. Clerical support workers,,2011,25.483,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Male,Occupation (ISCO-08): 5. Service and sales workers,,2011,111.393,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Male,"Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers",,2011,37.853,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Male,Occupation (ISCO-08): 7. Craft and related trades workers,,2011,229.129,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Male,"Occupation (ISCO-08): 8. Plant and machine operators, and assemblers",,2011,55.804,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Male,Occupation (ISCO-08): 0. Armed forces occupations,,2011,1.671,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Male,Occupation (ISCO-08): X. Not elsewhere classified,,2011,1.958,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Female,Occupation (ISCO-08): Total,,2011,366.26,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Female,Occupation (ISCO-08): 1. Managers,,2011,13.624,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Female,Occupation (ISCO-08): 2. Professionals,,2011,61.01,,Nonstandard occupation: Including 3,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Female,Occupation (ISCO-08): 4. Clerical support workers,,2011,55.841,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Female,Occupation (ISCO-08): 5. Service and sales workers,,2011,205.388,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Female,"Occupation (ISCO-08): 6. Skilled agricultural, forestry and fishery workers",,2011,3.532,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Female,Occupation (ISCO-08): 7. Craft and related trades workers,,2011,21.444,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Female,"Occupation (ISCO-08): 8. Plant and machine operators, and assemblers",,2011,3.237,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Female,Occupation (ISCO-08): 0. Armed forces occupations,,2011,0.437,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Female,Occupation (ISCO-08): X. Not elsewhere classified,,2011,1.747,,,,Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,Occupation (Skill level): Total,,2010,941.124,,,,Population coverage: Nonstandard population coverage | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,Occupation (Skill level): Skill levels 3 and 4 ~ high,,2010,200.968,,,,Population coverage: Nonstandard population coverage | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,Occupation (Skill level): Skill level 2 ~ medium,,2010,665.672,,,,Population coverage: Nonstandard population coverage | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,Occupation (Skill level): Skill level 1 ~ low,,2010,62.413,,,,Population coverage: Nonstandard population coverage | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,Occupation (Skill level): Not elsewhere classified,,2010,12.071,,,,Population coverage: Nonstandard population coverage | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Male,Occupation (Skill level): Total,,2010,556.394,,,,Population coverage: Nonstandard population coverage | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Male,Occupation (Skill level): Skill levels 3 and 4 ~ high,,2010,67.974,,,,Population coverage: Nonstandard population coverage | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Male,Occupation (Skill level): Skill level 2 ~ medium,,2010,417.093,,,,Population coverage: Nonstandard population coverage | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Male,Occupation (Skill level): Skill level 1 ~ low,,2010,60.894,,,,Population coverage: Nonstandard population coverage | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Male,Occupation (Skill level): Not elsewhere classified,,2010,10.433,,,,Population coverage: Nonstandard population coverage | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Female,Occupation (Skill level): Total,,2010,384.73,,,,Population coverage: Nonstandard population coverage | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Female,Occupation (Skill level): Skill levels 3 and 4 ~ high,,2010,132.994,,,,Population coverage: Nonstandard population coverage | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Female,Occupation (Skill level): Skill level 2 ~ medium,,2010,248.579,,,,Population coverage: Nonstandard population coverage | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Female,Occupation (Skill level): Skill level 1 ~ low,,2010,1.519,,,,Population coverage: Nonstandard population coverage | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Female,Occupation (Skill level): Not elsewhere classified,,2010,1.638,,,,Population coverage: Nonstandard population coverage | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,Occupation (ISCO-08): Total,,2010,941.124,,,,Population coverage: Nonstandard population coverage | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,Occupation (ISCO-08): 1. Managers,,2010,28.707,,,,Population coverage: Nonstandard population coverage | Age coverage - minimum age: 10 years old
Venezuela (Bolivarian Republic of),LFS - Household Sample Survey,Unemployment of previously employed persons by sex and former occupation (thousands),Sex: Total,Occupation (ISCO-08): 2. Professionals,,2010,91.396,,,,Population coverage: Nonstandard population coverage | Age coverage - minimum age: 10 years old
