"POBLACIÓN DE 15 AÑOS Y MAS, SEGÚN SITUACIÓN EN LA FUERZA DE TRABAJO, GRUPO DE EDAD Y SEXO",,,,
IDENTIFICADOR,1ER SEMESTRE 2020,2DO SEMESTRE 2020,1ER SEMESTRE 2021,2DO SEMESTRE 2021,1ER SEMESTRE 2022,2DO SEMESTRE 2022,1ER SEMESTRE 2023
25 - 44,"108,336","126,853","146,517","165,321","154,444","161,979","192,786"
45 - 64,"83,901","98,148","109,243","123,370","129,518","154,884","262,983"
65 Y MAS,"51,396","62,543","60,952","64,930","59,105","64,791","105,412"
INCAPACITADA PARA TRABAJAR,"407,266","444,664","276,533","303,606","277,887","274,546","235,414"
15 - 24,"120,865","129,902","38,047","41,329","43,426","52,220","79,300"
25 - 44,"133,926","149,732","86,365","94,686","76,565","72,887","57,988"
45 - 64,"87,583","99,448","81,767","90,595","86,072","79,384","55,690"
65 Y MAS,"64,892","65,582","70,354","76,996","71,824","70,055","42,436"
OTRAS SITUACIONES,"1,297,941","1,548,521","1,601,163","1,756,319","1,768,850","1,827,574","1,806,102"
15 - 24,"182,970","291,395","343,520","410,085","376,418","356,530","293,840"
25 - 44,"135,059","173,280","212,140","245,225","226,242","243,173","226,790"
45 - 64,"297,158","351,930","340,040","357,311","352,809","379,501","377,172"
65 Y MAS,"682,754","731,916","705,463","743,698","813,381","848,370","908,300"
MUJERES,"16,115,826","16,313,671","16,408,588","16,504,234","16,597,808","16,691,997","16,784,120"
15 AÑOS Y MAS,"12,169,452","12,328,985","12,429,904","12,532,815","12,632,784","12,788,891","12,833,768"
15 - 24,"2,437,736","2,517,194","2,603,010","2,636,996","2,651,058","2,655,195","2,629,124"
25 - 44,"5,100,699","5,065,617","4,997,255","4,973,282","5,004,406","5,047,395","5,043,128"
45 - 64,"3,165,276","3,209,566","3,248,823","3,291,974","3,274,361","3,363,173","3,368,859"
65 Y MAS,"1,465,741","1,536,608","1,580,816","1,630,563","1,702,959","1,723,128","1,792,657"
ACTIVA,"6,102,432","5,824,949","5,758,048","5,628,591","5,832,269","5,674,084","5,527,328"
TASA DE ACTIVIDAD (%),50.1 %,47.2 %,46.3 %,44.9 %,46.2 %,44.4 %,43.1 %
15 - 24,"782,973","720,639","722,312","684,293","741,709","697,190","706,849"
TASA DE ACTIVIDAD (%),32.1 %,28.6 %,27.7 %,25.9 %,28.0 %,26.3 %,26.9 %
25 - 44,"3,338,885","3,193,488","3,101,296","3,023,093","3,156,341","3,072,425","3,015,033"
TASA DE ACTIVIDAD (%),65.5 %,63.0 %,62.1 %,60.8 %,63.1 %,60.9 %,59.8 %
45 - 64,"1,769,226","1,692,265","1,675,272","1,654,366","1,657,375","1,653,158","1,578,321"
TASA DE ACTIVIDAD (%),55.9 %,52.7 %,51.6 %,50.3 %,50.6 %,49.2 %,46.9 %
65 Y MAS,"211,348","218,557","259,168","266,839","276,844","251,311","227,125"
TASA DE ACTIVIDAD (%),14.4 %,14.2 %,16.4 %,16.4 %,16.3 %,14.6 %,12.7 %
OCUPADA,"5,547,111","5,364,778","5,205,275","5,144,532","5,237,378","5,166,821","5,021,025"
TASA DE OCUPACIÓN (%),90.9 %,92.1 %,90.4 %,91.4 %,89.8 %,91.1 %,90.8 %
15 - 24,"616,113","599,721","573,337","577,285","621,509","598,506","600,468"
TASA DE OCUPACIÓN (%),78.7 %,83.2 %,79.4 %,84.4 %,83.8 %,85.8 %,85.0 %
25 - 44,"3,099,658","2,987,165","2,885,094","2,833,536","2,923,376","2,876,915","2,848,152"
TASA DE OCUPACIÓN (%),92.8 %,93.5 %,93.0 %,93.7 %,92.6 %,93.6 %,94.5 %
45 - 64,"1,670,699","1,609,698","1,560,920","1,546,283","1,506,834","1,525,727","1,440,053"
TASA DE OCUPACIÓN (%),94.4 %,95.1 %,93.2 %,93.5 %,90.9 %,92.3 %,91.2 %
65 Y MAS,"160,641","168,194","185,924","187,428","185,659","165,673","132,352"
TASA DE OCUPACIÓN (%),76.0 %,77.0 %,71.7 %,70.2 %,67.1 %,65.9 %,58.3 %
DESOCUPADA,"555,321","460,171","552,773","484,059","594,891","507,263","506,303"
TASA DE DESOCUPACIÓN (%),9.1 %,7.9 %,9.6 %,8.6 %,10.2 %,8.9 %,9.2 %
15 - 24,"166,860","120,918","148,975","107,008","120,200","98,684","106,381"
TASA DE DESOCUPACIÓN (%),21.3 %,16.8 %,20.6 %,15.6 %,16.2 %,14.2 %,15.1 %
25 - 44,"239,227","206,323","216,202","189,557","232,965","195,510","166,881"
TASA DE DESOCUPACIÓN (%),7.2 %,6.5 %,7.0 %,6.3 %,7.4 %,6.4 %,5.5 %
45 - 64,"98,527","82,567","114,352","108,083","150,541","127,431","138,268"
TASA DE DESOCUPACIÓN (%),5.6 %,4.9 %,6.8 %,6.5 %,9.1 %,7.7 %,8.8 %
65 Y MAS,"50,707","50,363","73,244","79,411","91,185","85,638","94,773"
TASA DE DESOCUPACIÓN (%),24.0 %,23.0 %,28.3 %,29.8 %,32.9 %,34.1 %,41.7 %
INACTIVA,"6,067,020","6,504,036","6,671,856","6,904,224","6,800,515","7,114,807","7,306,440"
TASA DE INACTIVIDAD (%),49.9 %,52.8 %,53.7 %,55.1 %,53.8 %,55.6 %,56.9 %
15 - 24,"1,654,763","1,796,555","1,880,698","1,952,703","1,909,349","1,958,005","1,922,275"
TASA DE INACTIVIDAD (%),67.9 %,71.4 %,72.3 %,74.1 %,72.0 %,73.7 %,73.1 %
25 - 44,"1,761,814","1,872,129","1,895,959","1,950,189","1,848,065","1,974,970","2,028,095"
TASA DE INACTIVIDAD (%),34.5 %,37.0 %,37.9 %,39.2 %,36.9 %,39.1 %,40.2 %
45 - 64,"1,396,050","1,517,301","1,573,551","1,637,608","1,616,986","1,710,015","1,790,538"
TASA DE INACTIVIDAD (%),44.1 %,47.3 %,48.4 %,49.7 %,49.4 %,50.8 %,53.1 %
65 Y MAS,"1,254,393","1,318,051","1,321,648","1,363,724","1,426,115","1,471,817","1,565,532"
TASA DE INACTIVIDAD (%),85.6 %,85.8 %,83.6 %,83.6 %,83.7 %,85.4 %,87.3 %
ESTUDIANTE,"964,608","1,028,661","1,108,591","1,137,531","1,151,645","1,199,977","1,255,870"
15 - 24,"869,910","938,074","1,017,145","1,041,149","1,061,973","1,105,224","1,151,734"
25 - 44,"90,662","85,342","86,871","92,075","86,223","90,486","96,534"
45 - 64,"1,635","3,170","3,062","2,857","2,190","2,694","5,045"
65 Y MAS,"2,401","2,075","1,513","1,450","1,259","1,573","2,557"
QUEHACERES DEL HOGAR,"3,483,238","3,714,493","3,821,852","3,965,475","3,828,113","3,966,148","3,885,718"
15 - 24,"515,220","546,555","576,539","603,102","567,141","568,664","474,347"
25 - 44,"1,453,428","1,549,479","1,577,819","1,623,714","1,540,145","1,612,786","1,670,851"
45 - 64,"953,100","1,036,158","1,093,392","1,143,025","1,133,029","1,209,663","1,238,770"
65 Y MAS,"561,490","582,301","574,102","595,634","587,798","575,035","501,750"
INCAPACITADA PARA TRABAJAR,"260,581","266,004","177,008","190,195","178,878","184,141","193,564"
15 - 24,"83,653","77,233","21,552","24,446","23,777","28,134","38,567"
25 - 44,"77,989","84,321","57,469","59,063","54,544","56,183","53,558"
45 - 64,"56,553","60,455","49,227","54,357","49,376","46,619","38,437"
65 Y MAS,"42,386","43,995","48,760","52,329","51,181","53,205","63,002"
OTRAS SITUACIONES,"1,358,593","1,494,878","1,564,405","1,611,023","1,641,879","1,764,541","1,971,288"
15 - 24,"185,980","234,693","265,462","284,006","256,458","255,983","257,627"
25 - 44,"139,735","152,987","173,800","175,337","167,153","215,515","207,152"
45 - 64,"384,762","417,518","427,870","437,369","432,391","451,039","508,286"
65 Y MAS,"648,116","689,680","697,273","714,311","785,877","842,004","998,223"
