"CUADRO 3.- POBLACIÓN DE 15 AÑOS Y MAS OCUPADA, SEGÚN SECTOR EMPLEADOR, CATEGORIA OCUPACIONAL Y SEXO",,,
IDENTIFICADOR,1ER SEMESTRE 2020,2DO SEMESTRE 2020,1ER SEMESTRE 2021,2DO SEMESTRE 2021,1ER SEMESTRE 2022,2DO SEMESTRE 2022,1ER SEMESTRE 2023
AYUDANTES FAMILIARES,"71,033","76,017","79,702","78,673","112,007","85,291","73,837"
(%),0.5 %,0.6 %,0.6 %,0.6 %,0.8 %,0.6 %,0.6 %
HOMBRES,"8,454,514","8,186,627","8,190,482","8,045,274","8,058,482","8,149,575","8,004,471"
SECTOR PÚBLICO,"1,714,052","1,779,251","1,582,467","1,546,375","1,492,716","1,543,852","1,638,743"
(%),20.3 %,21.7 %,19.3 %,19.2 %,18.5 %,18.9 %,20.5 %
"EMPLEADOS, OBREROS Y TRAB. COMUNALES","1,714,052","1,779,251","1,582,467","1,546,375","1,492,716","1,543,852","1,638,743"
(%),20.3 %,21.7 %,19.3 %,19.2 %,18.5 %,18.9 %,20.5 %
SECTOR PRIVADO,"6,740,462","6,407,376","6,608,015","6,498,899","6,565,766","6,605,723","6,365,728"
(%),79.7 %,78.3 %,80.7 %,80.8 %,81.5 %,81.1 %,79.5 %
EMPLEADOS Y OBREROS,"2,583,687","2,511,503","2,456,808","2,408,629","2,439,247","2,524,392","2,508,884"
(%),30.6 %,30.7 %,30.0 %,29.9 %,30.3 %,31.0 %,31.3 %
TRABAJADORES POR CUENTA PROPIA,"3,395,799","3,149,235","3,506,557","3,452,302","3,491,473","3,462,904","3,305,045"
(%),40.2 %,38.5 %,42.8 %,42.9 %,43.3 %,42.5 %,41.3 %
PATRONOS Y EMPLEADORES,"201,833","182,393","168,490","172,226","176,144","177,572","191,426"
(%),2.4 %,2.2 %,2.1 %,2.1 %,2.2 %,2.2 %,2.4 %
MIEMBROS DE COOPERATIVA,"69,840","73,813","61,945","60,392","54,884","57,920","84,025"
(%),0.8 %,0.9 %,0.8 %,0.8 %,0.7 %,0.7 %,1.0 %
SOCIEDAD DE PERSONAS,"440,696","442,805","361,145","351,638","323,671","326,733","226,052"
(%),5.2 %,5.4 %,4.4 %,4.4 %,4.0 %,4.0 %,2.8 %
AYUDANTES FAMILIARES,"48,607","47,627","53,070","53,712","80,347","56,202","50,296"
(%),0.6,0.6,0.6,0.7,1.0,0.7,0.6
MUJERES,"5,547,111","5,364,778","5,205,275","5,144,532","5,237,378","5,166,821","5,021,025"
SECTOR PÚBLICO,"1,601,427","1,513,513","1,511,174","1,479,078","1,444,140","1,456,778","1,523,324"
(%),28.9 %,28.2 %,29.0 %,28.8 %,27.6 %,28.2 %,30.3 %
"EMPLEADOS, OBREROS Y TRAB. COMUNALES","1,601,427","1,513,513","1,511,174","1,479,078","1,444,140","1,456,778","1,523,324"
(%),28.9 %,28.2 %,29.0 %,28.8 %,27.6 %,28.2 %,30.3 %
SECTOR PRIVADO,"3,945,684","3,851,265","3,694,101","3,665,454","3,793,238","3,710,043","3,497,701"
(%),71.1 %,71.8 %,71.0 %,71.2 %,72.4 %,71.8 %,69.7 %
EMPLEADOS Y OBREROS,"1,783,287","1,721,959","1,643,335","1,636,754","1,641,820","1,635,668","1,447,238"
(%),32.1 %,32.1 %,31.6 %,31.8 %,31.3 %,31.7 %,28.8 %
TRABAJADORES POR CUENTA PROPIA,"1,958,642","1,933,827","1,879,535","1,860,330","1,974,730","1,908,461","1,871,551"
(%),35.3 %,36.0 %,36.1 %,36.2 %,37.7 %,36.9 %,37.3 %
PATRONOS Y EMPLEADORES,"70,022","63,595","45,444","46,117","50,870","50,388","76,397"
(%),1.3 %,1.2 %,0.9 %,0.9 %,1.0 %,1.0 %,1.5 %
MIEMBROS DE COOPERATIVA,"18,200","15,035","14,348","13,712","12,521","8,709","3,042"
(%),0.3 %,0.3 %,0.3 %,0.3 %,0.2 %,0.2 %,0.1 %
SOCIEDAD DE PERSONAS,"93,107","88,459","84,807","83,580","81,637","77,728","75,932"
(%),1.7 %,1.6 %,1.6 %,1.6 %,1.6 %,1.5 %,1.5 %
AYUDANTES FAMILIARES,"22,426","28,390","26,632","24,961","31,660","29,089","23,541"
(%),0.4 %,0.5 %,0.5 %,0.5 %,0.6 %,0.6 %,0.5 %
