time,obs_value,Sex,Economic activity (Aggregate),Economic activity (Broad sector),Economic activity (ISIC-Rev.3.1),Currency
2016,161.332, Male,,," I. Transport, storage and communications", Local currency
2016,170.935, Male,,, J. Financial intermediation, Local currency
2016,120.177, Male,,," K. Real estate, renting and business activities", Local currency
2016,132.875, Male,,, L. Public administration and defence; compulsory social security, Local currency
2016,138.37, Male,,, M. Education, Local currency
2016,145.802, Male,,, N. Health and social work, Local currency
2016,142.427, Male,,," O. Other community, social and personal service activities", Local currency
2016,132.73, Male,,, P. Activities of private households as employers and undifferentiated production activities of private households, Local currency
2016,164.506, Male,,, X. Not elsewhere classified, Local currency
2016,128.171, Female,,, Total, Local currency
2016,113.504, Female,,," A. Agriculture, hunting and forestry", Local currency
2016,206.327, Female,,, C. Mining and quarrying, Local currency
2016,118.88, Female,,, D. Manufacturing, Local currency
2016,224.899, Female,,," E. Electricity, gas and water supply", Local currency
2016,151.584, Female,,, F. Construction, Local currency
2016,117.051, Female,,," G. Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods", Local currency
2016,111.252, Female,,, H. Hotels and restaurants, Local currency
2016,138.126, Female,,," I. Transport, storage and communications", Local currency
2016,150.602, Female,,, J. Financial intermediation, Local currency
2016,133.543, Female,,," K. Real estate, renting and business activities", Local currency
2016,125.903, Female,,, L. Public administration and defence; compulsory social security, Local currency
2016,136.051, Female,,, M. Education, Local currency
2016,131.404, Female,,, N. Health and social work, Local currency
2016,126.812, Female,,," O. Other community, social and personal service activities", Local currency
2016,98.025, Female,,, P. Activities of private households as employers and undifferentiated production activities of private households, Local currency
2016,135.238, Female,,, X. Not elsewhere classified, Local currency
2012,16.037, Total,, Total,, Local currency
2012,10.49, Total,, Agriculture,, Local currency
2012,17.315, Total,, Industry,, Local currency
2012,16.061, Total,, Services,, Local currency
2012,18.649, Total,, Not classified,, Local currency
2012,16.064, Male,, Total,, Local currency
2012,10.366, Male,, Agriculture,, Local currency
2012,17.488, Male,, Industry,, Local currency
2012,16.163, Male,, Services,, Local currency
2012,17.788, Male,, Not classified,, Local currency
2012,15.997, Female,, Total,, Local currency
2012,12.04, Female,, Agriculture,, Local currency
2012,16.569, Female,, Industry,, Local currency
2012,15.961, Female,, Services,, Local currency
2012,19.893, Female,, Not classified,, Local currency
2012,16.037, Total, Total,,, Local currency
2012,10.49, Total, Agriculture,,, Local currency
2012,16.004, Total, Manufacturing,,, Local currency
2012,16.801, Total, Construction,,, Local currency
2012,25.506, Total," Mining and quarrying; Electricity, gas and water supply",,, Local currency
2012,15.136, Total," Trade, Transportation, Accommodation and Food, and Business and Administrative Services",,, Local currency
2012,16.783, Total," Public Administration, Community, Social and other Services and Activities",,, Local currency
2012,18.649, Total, Not classified,,, Local currency
2012,16.064, Male, Total,,, Local currency
2012,10.366, Male, Agriculture,,, Local currency
2012,16.311, Male, Manufacturing,,, Local currency
2012,16.615, Male, Construction,,, Local currency
2012,25.863, Male," Mining and quarrying; Electricity, gas and water supply",,, Local currency
2012,15.312, Male," Trade, Transportation, Accommodation and Food, and Business and Administrative Services",,, Local currency
2012,17.154, Male," Public Administration, Community, Social and other Services and Activities",,, Local currency
2012,17.788, Male, Not classified,,, Local currency
2012,15.997, Female, Total,,, Local currency
2012,12.04, Female, Agriculture,,, Local currency
2012,15.136, Female, Manufacturing,,, Local currency
2012,19.157, Female, Construction,,, Local currency
2012,23.859, Female," Mining and quarrying; Electricity, gas and water supply",,, Local currency
2012,14.863, Female," Trade, Transportation, Accommodation and Food, and Business and Administrative Services",,, Local currency
2012,16.528, Female," Public Administration, Community, Social and other Services and Activities",,, Local currency
2012,19.893, Female, Not classified,,, Local currency
2012,16.037, Total,,, Total, Local currency
2012,10.517, Total,,," A. Agriculture, hunting and forestry", Local currency
2012,9.683, Total,,, B. Fishing, Local currency
2012,27.135, Total,,, C. Mining and quarrying, Local currency
2012,16.004, Total,,, D. Manufacturing, Local currency
2012,21.747, Total,,," E. Electricity, gas and water supply", Local currency
2012,16.801, Total,,, F. Construction, Local currency
2012,14.095, Total,,," G. Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods", Local currency
2012,12.661, Total,,, H. Hotels and restaurants, Local currency
2012,16.802, Total,,," I. Transport, storage and communications", Local currency
2012,20.82, Total,,, J. Financial intermediation, Local currency
2012,16.21, Total,,," K. Real estate, renting and business activities", Local currency
2012,17.56, Total,,, L. Public administration and defence; compulsory social security, Local currency
2012,18.192, Total,,, M. Education, Local currency
2012,17.187, Total,,, N. Health and social work, Local currency
2012,14.36, Total,,," O. Other community, social and personal service activities", Local currency
2012,10.34, Total,,, P. Activities of private households as employers and undifferentiated production activities of private households, Local currency
2012,24.691, Total,,, Q. Extraterritorial organizations and bodies, Local currency
2012,18.649, Total,,, X. Not elsewhere classified, Local currency
2012,16.064, Male,,, Total, Local currency
2012,10.39, Male,,," A. Agriculture, hunting and forestry", Local currency
2012,9.677, Male,,, B. Fishing, Local currency
2012,27.569, Male,,, C. Mining and quarrying, Local currency
2012,16.311, Male,,, D. Manufacturing, Local currency
2012,21.764, Male,,," E. Electricity, gas and water supply", Local currency
2012,16.615, Male,,, F. Construction, Local currency
2012,14.271, Male,,," G. Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods", Local currency
2012,13.903, Male,,, H. Hotels and restaurants, Local currency
2012,16.387, Male,,," I. Transport, storage and communications", Local currency
2012,21.388, Male,,, J. Financial intermediation, Local currency
2012,15.534, Male,,," K. Real estate, renting and business activities", Local currency
2012,17.606, Male,,, L. Public administration and defence; compulsory social security, Local currency
2012,18.762, Male,,, M. Education, Local currency
2012,18.968, Male,,, N. Health and social work, Local currency
2012,14.352, Male,,," O. Other community, social and personal service activities", Local currency
2012,11.679, Male,,, P. Activities of private households as employers and undifferentiated production activities of private households, Local currency
2012,16.608, Male,,, Q. Extraterritorial organizations and bodies, Local currency
2012,17.788, Male,,, X. Not elsewhere classified, Local currency
2012,15.997, Female,,, Total, Local currency
2012,12.058, Female,,," A. Agriculture, hunting and forestry", Local currency
2012,24.987, Female,,, C. Mining and quarrying, Local currency
2012,15.136, Female,,, D. Manufacturing, Local currency
2012,21.68, Female,,," E. Electricity, gas and water supply", Local currency
2012,19.157, Female,,, F. Construction, Local currency
2012,13.862, Female,,," G. Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods", Local currency
2012,11.622, Female,,, H. Hotels and restaurants, Local currency
2012,18.546, Female,,," I. Transport, storage and communications", Local currency
2012,20.355, Female,,, J. Financial intermediation, Local currency
2012,17.873, Female,,," K. Real estate, renting and business activities", Local currency
2012,17.499, Female,,, L. Public administration and defence; compulsory social security, Local currency
2012,17.986, Female,,, M. Education, Local currency
2012,16.599, Female,,, N. Health and social work, Local currency
2012,14.377, Female,,," O. Other community, social and personal service activities", Local currency
2012,10.215, Female,,, P. Activities of private households as employers and undifferentiated production activities of private households, Local currency
2012,19.893, Female,,, X. Not elsewhere classified, Local currency
2011,12.595, Total,, Total,, Local currency
2011,8.13, Total,, Agriculture,, Local currency
2011,13.46, Total,, Industry,, Local currency
2011,12.668, Total,, Services,, Local currency
2011,14.248, Total,, Not classified,, Local currency
2011,12.542, Male,, Total,, Local currency
2011,8.035, Male,, Agriculture,, Local currency
2011,13.531, Male,, Industry,, Local currency
2011,12.688, Male,, Services,, Local currency
2011,14.412, Male,, Not classified,, Local currency
2011,12.673, Female,, Total,, Local currency
2011,9.412, Female,, Agriculture,, Local currency
2011,13.15, Female,, Industry,, Local currency
2011,12.648, Female,, Services,, Local currency
2011,14.029, Female,, Not classified,, Local currency
2011,12.595, Total, Total,,, Local currency
2011,8.13, Total, Agriculture,,, Local currency
2011,12.377, Total, Manufacturing,,, Local currency
2011,13.151, Total, Construction,,, Local currency
2011,20.519, Total," Mining and quarrying; Electricity, gas and water supply",,, Local currency
2011,11.79, Total," Trade, Transportation, Accommodation and Food, and Business and Administrative Services",,, Local currency
2011,13.372, Total," Public Administration, Community, Social and other Services and Activities",,, Local currency
2011,14.248, Total, Not classified,,, Local currency
2011,12.542, Male, Total,,, Local currency
2011,8.035, Male, Agriculture,,, Local currency
2011,12.617, Male, Manufacturing,,, Local currency
2011,12.955, Male, Construction,,, Local currency
2011,20.49, Male," Mining and quarrying; Electricity, gas and water supply",,, Local currency
2011,11.928, Male," Trade, Transportation, Accommodation and Food, and Business and Administrative Services",,, Local currency
2011,13.609, Male," Public Administration, Community, Social and other Services and Activities",,, Local currency
2011,14.412, Male, Not classified,,, Local currency
2011,12.673, Female, Total,,, Local currency
2011,9.412, Female, Agriculture,,, Local currency
2011,11.703, Female, Manufacturing,,, Local currency
2011,15.886, Female, Construction,,, Local currency
2011,20.64, Female," Mining and quarrying; Electricity, gas and water supply",,, Local currency
2011,11.579, Female," Trade, Transportation, Accommodation and Food, and Business and Administrative Services",,, Local currency
2011,13.213, Female," Public Administration, Community, Social and other Services and Activities",,, Local currency
2011,14.029, Female, Not classified,,, Local currency
2011,12.595, Total,,, Total, Local currency
2011,8.127, Total,,," A. Agriculture, hunting and forestry", Local currency
2011,8.233, Total,,, B. Fishing, Local currency
2011,22.212, Total,,, C. Mining and quarrying, Local currency
2011,12.377, Total,,, D. Manufacturing, Local currency
2011,17.142, Total,,," E. Electricity, gas and water supply", Local currency
2011,13.151, Total,,, F. Construction, Local currency
2011,10.79, Total,,," G. Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods", Local currency
2011,9.642, Total,,, H. Hotels and restaurants, Local currency
2011,13.049, Total,,," I. Transport, storage and communications", Local currency
2011,16.824, Total,,, J. Financial intermediation, Local currency
2011,12.944, Total,,," K. Real estate, renting and business activities", Local currency
2011,14.059, Total,,, L. Public administration and defence; compulsory social security, Local currency
2011,14.683, Total,,, M. Education, Local currency
2011,13.634, Total,,, N. Health and social work, Local currency
2011,11.339, Total,,," O. Other community, social and personal service activities", Local currency
2011,7.501, Total,,, P. Activities of private households as employers and undifferentiated production activities of private households, Local currency
2011,18.959, Total,,, Q. Extraterritorial organizations and bodies, Local currency
2011,14.248, Total,,, X. Not elsewhere classified, Local currency
2011,12.542, Male,,, Total, Local currency
2011,8.028, Male,,," A. Agriculture, hunting and forestry", Local currency
2011,8.233, Male,,, B. Fishing, Local currency
2011,22.071, Male,,, C. Mining and quarrying, Local currency
2011,12.617, Male,,, D. Manufacturing, Local currency
2011,17.185, Male,,," E. Electricity, gas and water supply", Local currency
2011,12.955, Male,,, F. Construction, Local currency
2011,10.934, Male,,," G. Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods", Local currency
2011,10.562, Male,,, H. Hotels and restaurants, Local currency
2011,12.675, Male,,," I. Transport, storage and communications", Local currency
2011,17.173, Male,,, J. Financial intermediation, Local currency
2011,12.361, Male,,," K. Real estate, renting and business activities", Local currency
2011,13.768, Male,,, L. Public administration and defence; compulsory social security, Local currency
2011,15.385, Male,,, M. Education, Local currency
2011,15.197, Male,,, N. Health and social work, Local currency
2011,11.577, Male,,," O. Other community, social and personal service activities", Local currency
2011,7.404, Male,,, P. Activities of private households as employers and undifferentiated production activities of private households, Local currency
2011,15.592, Male,,, Q. Extraterritorial organizations and bodies, Local currency
2011,14.412, Male,,, X. Not elsewhere classified, Local currency
2011,12.673, Female,,, Total, Local currency
2011,9.412, Female,,," A. Agriculture, hunting and forestry", Local currency
2011,22.846, Female,,, C. Mining and quarrying, Local currency
2011,11.703, Female,,, D. Manufacturing, Local currency
2011,16.99, Female,,," E. Electricity, gas and water supply", Local currency
2011,15.886, Female,,, F. Construction, Local currency
2011,10.607, Female,,," G. Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods", Local currency
2011,8.952, Female,,, H. Hotels and restaurants, Local currency
2011,14.555, Female,,," I. Transport, storage and communications", Local currency
2011,16.488, Female,,, J. Financial intermediation, Local currency
2011,14.365, Female,,," K. Real estate, renting and business activities", Local currency
2011,14.419, Female,,, L. Public administration and defence; compulsory social security, Local currency
2011,14.428, Female,,, M. Education, Local currency
2011,13.169, Female,,, N. Health and social work, Local currency
2011,10.895, Female,,," O. Other community, social and personal service activities", Local currency
2011,7.511, Female,,, P. Activities of private households as employers and undifferentiated production activities of private households, Local currency
2011,14.029, Female,,, X. Not elsewhere classified, Local currency
2010,10.104, Total,, Total,, Local currency
2010,6.573, Total,, Agriculture,, Local currency
2010,10.535, Total,, Industry,, Local currency
2010,10.262, Total,, Services,, Local currency
2010,11.965, Total,, Not classified,, Local currency
2010,10.036, Male,, Total,, Local currency
2010,6.514, Male,, Agriculture,, Local currency
2010,10.634, Male,, Industry,, Local currency
2010,10.277, Male,, Services,, Local currency
2010,12.278, Male,, Not classified,, Local currency
2010,10.204, Female,, Total,, Local currency
2010,7.356, Female,, Agriculture,, Local currency
2010,10.096, Female,, Industry,, Local currency
2010,10.247, Female,, Services,, Local currency
2010,11.479, Female,, Not classified,, Local currency
2010,10.104, Total, Total,,, Local currency
2010,6.573, Total, Agriculture,,, Local currency
2010,9.699, Total, Manufacturing,,, Local currency
2010,10.518, Total, Construction,,, Local currency
2010,15.433, Total," Mining and quarrying; Electricity, gas and water supply",,, Local currency
2010,9.46, Total," Trade, Transportation, Accommodation and Food, and Business and Administrative Services",,, Local currency
2010,10.892, Total," Public Administration, Community, Social and other Services and Activities",,, Local currency
2010,11.965, Total, Not classified,,, Local currency
2010,10.036, Male, Total,,, Local currency
2010,6.514, Male, Agriculture,,, Local currency
2010,9.883, Male, Manufacturing,,, Local currency
2010,10.354, Male, Construction,,, Local currency
2010,15.789, Male," Mining and quarrying; Electricity, gas and water supply",,, Local currency
2010,9.664, Male," Trade, Transportation, Accommodation and Food, and Business and Administrative Services",,, Local currency
2010,11.02, Male," Public Administration, Community, Social and other Services and Activities",,, Local currency
2010,12.278, Male, Not classified,,, Local currency
2010,10.204, Female, Total,,, Local currency
2010,7.356, Female, Agriculture,,, Local currency
2010,9.175, Female, Manufacturing,,, Local currency
2010,13.014, Female, Construction,,, Local currency
2010,13.906, Female," Mining and quarrying; Electricity, gas and water supply",,, Local currency
2010,9.132, Female," Trade, Transportation, Accommodation and Food, and Business and Administrative Services",,, Local currency
2010,10.807, Female," Public Administration, Community, Social and other Services and Activities",,, Local currency
2010,11.479, Female, Not classified,,, Local currency
2010,10.104, Total,,, Total, Local currency
2010,6.547, Total,,," A. Agriculture, hunting and forestry", Local currency
2010,7.408, Total,,, B. Fishing, Local currency
2010,16.913, Total,,, C. Mining and quarrying, Local currency
2010,9.699, Total,,, D. Manufacturing, Local currency
2010,12.78, Total,,," E. Electricity, gas and water supply", Local currency
2010,10.518, Total,,, F. Construction, Local currency
2010,8.886, Total,,," G. Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods", Local currency
2010,7.807, Total,,, H. Hotels and restaurants, Local currency
2010,10.732, Total,,," I. Transport, storage and communications", Local currency
2010,13.084, Total,,, J. Financial intermediation, Local currency
2010,9.539, Total,,," K. Real estate, renting and business activities", Local currency
2010,11.357, Total,,, L. Public administration and defence; compulsory social security, Local currency
2010,12.391, Total,,, M. Education, Local currency
2010,10.695, Total,,, N. Health and social work, Local currency
2010,9.251, Total,,," O. Other community, social and personal service activities", Local currency
2010,5.954, Total,,, P. Activities of private households as employers and undifferentiated production activities of private households, Local currency
2010,18.679, Total,,, Q. Extraterritorial organizations and bodies, Local currency
2010,11.965, Total,,, X. Not elsewhere classified, Local currency
2010,10.036, Male,,, Total, Local currency
2010,6.487, Male,,," A. Agriculture, hunting and forestry", Local currency
2010,7.386, Male,,, B. Fishing, Local currency
2010,17.29, Male,,, C. Mining and quarrying, Local currency
2010,9.883, Male,,, D. Manufacturing, Local currency
2010,12.953, Male,,," E. Electricity, gas and water supply", Local currency
2010,10.354, Male,,, F. Construction, Local currency
2010,9.074, Male,,," G. Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods", Local currency
2010,8.754, Male,,, H. Hotels and restaurants, Local currency
2010,10.578, Male,,," I. Transport, storage and communications", Local currency
2010,13.73, Male,,, J. Financial intermediation, Local currency
2010,9.107, Male,,," K. Real estate, renting and business activities", Local currency
2010,11.198, Male,,, L. Public administration and defence; compulsory social security, Local currency
2010,12.628, Male,,, M. Education, Local currency
2010,11.847, Male,,, N. Health and social work, Local currency
2010,9.316, Male,,," O. Other community, social and personal service activities", Local currency
2010,6.204, Male,,, P. Activities of private households as employers and undifferentiated production activities of private households, Local currency
2010,14.451, Male,,, Q. Extraterritorial organizations and bodies, Local currency
2010,12.278, Male,,, X. Not elsewhere classified, Local currency
2010,10.204, Female,,, Total, Local currency
2010,7.346, Female,,," A. Agriculture, hunting and forestry", Local currency
2010,7.897, Female,,, B. Fishing, Local currency
2010,15.123, Female,,, C. Mining and quarrying, Local currency
2010,9.175, Female,,, D. Manufacturing, Local currency
2010,12.153, Female,,," E. Electricity, gas and water supply", Local currency
2010,13.014, Female,,, F. Construction, Local currency
2010,8.633, Female,,," G. Wholesale and retail trade; repair of motor vehicles, motorcycles and personal and household goods", Local currency
2010,7.086, Female,,, H. Hotels and restaurants, Local currency
2010,11.39, Female,,," I. Transport, storage and communications", Local currency
2010,12.475, Female,,, J. Financial intermediation, Local currency
2010,10.664, Female,,," K. Real estate, renting and business activities", Local currency
2010,11.556, Female,,, L. Public administration and defence; compulsory social security, Local currency
2010,12.308, Female,,, M. Education, Local currency
2010,10.346, Female,,, N. Health and social work, Local currency
2010,9.134, Female,,," O. Other community, social and personal service activities", Local currency
2010,5.928, Female,,, P. Activities of private households as employers and undifferentiated production activities of private households, Local currency
2010,11.479, Female,,, X. Not elsewhere classified, Local currency
2009,8.19, Total,, Total,, Local currency
2009,5.35, Total,, Agriculture,, Local currency
2009,8.747, Total,, Industry,, Local currency
2009,8.241, Total,, Services,, Local currency
2009,10.126, Total,, Not classified,, Local currency
2009,8.08, Male,, Total,, Local currency
2009,5.25, Male,, Agriculture,, Local currency
2009,8.677, Male,, Industry,, Local currency
2009,8.197, Male,, Services,, Local currency
2009,10.713, Male,, Not classified,, Local currency
2009,8.355, Female,, Total,, Local currency
2009,6.63, Female,, Agriculture,, Local currency
2009,9.057, Female,, Industry,, Local currency
2009,8.283, Female,, Services,, Local currency
2009,9.301, Female,, Not classified,, Local currency
2009,8.19, Total, Total,,, Local currency
2009,5.35, Total, Agriculture,,, Local currency
2009,8.098, Total, Manufacturing,,, Local currency
2009,8.79, Total, Construction,,, Local currency
2009,12.5, Total," Mining and quarrying; Electricity, gas and water supply",,, Local currency
2009,7.522, Total," Trade, Transportation, Accommodation and Food, and Business and Administrative Services",,, Local currency
